dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.019820,19.999990,0.004902,0.098039,0.980392,9.803922,6.282194
0.100000,0.019177,19.999991,0.005544,0.006420,-0.916187,-18.965796,6.282226
0.100000,0.017733,19.999992,0.006989,0.014448,0.080271,9.964584,6.282299
0.100000,0.015324,19.999994,0.009397,0.024084,0.096364,0.160926,6.282419
0.100000,0.011952,19.999996,0.012770,0.033727,0.096433,0.000697,6.282588
0.100000,0.007614,19.999999,0.017108,0.043380,0.096531,0.000977,6.282805
0.100000,0.002309,20.000000,0.022413,0.053046,0.096657,0.001257,6.283070
0.100000,0.116875,20.000012,0.136978,1.145659,10.926127,108.294704,0.000198
0.100000,0.330243,20.000093,0.350347,2.133686,9.880270,-10.458569,0.000561
0.100000,0.571958,20.000278,0.592062,2.417148,2.834626,-70.456440,0.000972
0.100000,0.842233,20.000602,0.862337,2.702753,2.856050,0.214234,0.001432
0.100000,1.140818,20.001106,1.160923,2.985855,2.831012,-0.250377,0.001941
0.100000,1.467938,20.001832,1.488043,3.271204,2.853496,0.224846,0.002499
0.100000,1.823373,20.002828,1.843479,3.554360,2.831555,-0.219413,0.003107
0.100000,2.207297,20.004148,2.227405,3.839263,2.849033,0.174778,0.003766
0.100000,2.619616,20.005846,2.639729,4.123233,2.839702,-0.093308,0.004474
0.100000,3.060294,20.007985,3.080411,4.406824,2.835904,-0.037985,0.005233
0.100000,3.529342,20.010629,3.549467,4.690562,2.837385,0.014809,0.006042
0.100000,4.026857,20.013849,4.046992,4.975246,2.846842,0.094574,0.006903
0.100000,4.552731,20.017719,4.572880,5.258884,2.836374,-0.104676,0.007815
0.100000,5.106961,20.022318,5.127130,5.542493,2.836091,-0.002836,0.008780
0.100000,5.689542,20.027729,5.709736,5.826060,2.835672,-0.004184,0.009796
0.100000,6.300463,20.034041,6.320689,6.109537,2.834773,-0.008997,0.010866
0.100000,6.939709,20.041346,6.959977,6.392876,2.833389,-0.013837,0.011989
0.100000,7.607259,20.049742,7.627580,6.676028,2.831519,-0.018703,0.013166
0.100000,8.303200,20.059333,8.323587,6.960068,2.840398,0.088792,0.014397
0.100000,9.027419,20.070226,9.047888,7.243014,2.829457,-0.109411,0.015683
0.100000,9.779878,20.082533,9.800448,7.525598,2.825843,-0.036138,0.017025
0.100000,10.560588,20.096372,10.581280,7.808328,2.827298,0.014548,0.018423
0.100000,11.369627,20.111867,11.390468,8.091874,2.835461,0.081630,0.019878
0.100000,12.206793,20.129143,12.227812,8.373440,2.815661,-0.198001,0.021390
0.100000,13.072285,20.148338,13.093517,8.657050,2.836101,0.204407,0.022961
0.100000,13.965845,20.169586,13.987329,8.938119,2.810692,-0.254097,0.024590
0.100000,14.887712,20.193038,14.909495,9.221658,2.835386,0.246940,0.026279
0.100000,15.832924,20.218706,15.855055,9.455606,2.339485,-4.959006,0.028020
0.100000,16.792064,20.246440,16.814595,9.595402,1.397952,-9.415331,0.029796
0.100000,17.755787,20.276028,17.778773,9.641772,0.463702,-9.342502,0.031590
0.100000,18.719218,20.307341,18.742713,9.639406,-0.023660,-4.873623,0.033393
0.100000,19.682356,20.340388,19.706418,9.637046,-0.023597,0.000634,0.035204
0.100000,20.645356,20.375181,20.670046,9.636279,-0.007673,0.159239,0.037026
0.100000,21.608065,20.411724,21.633448,9.634025,-0.022532,-0.148591,0.038856
0.100000,22.570469,20.450024,22.596614,9.631660,-0.023653,-0.011211,0.040696
0.100000,23.532659,20.490093,23.559638,9.630241,-0.014190,0.094634,0.042545
0.100000,24.494606,20.531939,24.522495,9.628567,-0.016736,-0.025460,0.044404
0.100000,25.456237,20.575566,25.485114,9.626194,-0.023731,-0.069950,0.046272
0.100000,26.417563,20.620984,26.447513,9.623984,-0.022105,0.016262,0.048150
0.100000,27.378706,20.668207,27.409815,9.623026,-0.009581,0.125239,0.050037
0.100000,28.339520,20.717237,28.371880,9.620643,-0.023830,-0.142491,0.051934
0.100000,29.300002,20.768081,29.333706,9.618264,-0.023790,0.000398,0.053841
0.100000,30.260221,20.820753,30.295369,9.616634,-0.016302,0.074886,0.055758
0.100000,31.220175,20.875260,31.256869,9.614999,-0.016343,-0.000410,0.057685
