dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.000000,0.000000,0.004902,0.098039,0.980392,9.803922,6.282194
0.100000,0.000000,0.000000,0.024510,0.294118,1.960784,9.803922,6.282226
0.100000,0.000000,0.000000,0.068627,0.588235,2.941176,9.803922,6.282299
0.100000,0.000000,0.000000,0.142157,0.882353,2.941176,0.000000,6.282419
0.100000,0.000000,0.000000,0.245098,1.176471,2.941176,-0.000000,6.282588
0.100000,0.000000,0.000000,0.377451,1.470588,2.941176,0.000000,6.282805
0.100000,0.000000,0.000000,0.539216,1.764706,2.941176,0.000000,6.283070
0.100000,0.120841,0.000012,0.730392,2.058824,2.941176,0.000000,0.000198
0.100000,0.341455,0.000096,0.950980,2.352941,2.941176,-0.000000,0.000561
0.100000,0.591389,0.000287,1.200980,2.647059,2.941176,0.000000,0.000972
0.100000,0.870866,0.000623,1.480392,2.941176,2.941176,0.000000,0.001432
0.100000,1.179633,0.001144,1.789216,3.235294,2.941176,-0.000000,0.001941
0.100000,1.517925,0.001895,2.127451,3.529412,2.941176,0.000000,0.002499
0.100000,1.885522,0.002925,2.495098,3.823529,2.941176,-0.000000,0.003107
0.100000,2.282608,0.004290,2.892157,4.117647,2.941176,0.000000,0.003766
0.100000,2.709093,0.006047,3.318627,4.411765,2.941176,-0.000000,0.004474
0.100000,3.164945,0.008259,3.774510,4.705882,2.941176,0.000000,0.005233
0.100000,3.650183,0.010994,4.259804,5.000000,2.941176,0.000000,0.006042
0.100000,4.164914,0.014326,4.774510,5.294118,2.941176,0.000000,0.006903
0.100000,4.709035,0.018330,5.318627,5.588235,2.941176,0.000000,0.007815
0.100000,5.282552,0.023089,5.892157,5.882353,2.941176,0.000000,0.008780
0.100000,5.885467,0.028689,6.495098,6.176471,2.941176,-0.000000,0.009796
0.100000,6.517780,0.035221,7.127451,6.470588,2.941176,0.000000,0.010866
0.100000,7.179484,0.042783,7.789216,6.764706,2.941176,-0.000000,0.011989
0.100000,7.870568,0.051475,8.480392,7.058824,2.941176,0.000000,0.013166
0.100000,8.591133,0.061406,9.200980,7.352941,2.941176,-0.000000,0.014397
0.100000,9.341075,0.072686,9.950980,7.647059,2.941176,-0.000000,0.015683
0.100000,10.120366,0.085432,10.730392,7.941176,2.941176,0.000000,0.017025
0.100000,10.929030,0.099766,11.539216,8.235294,2.941176,0.000000,0.018423
0.100000,11.767161,0.115818,12.377451,8.529412,2.941176,-0.000000,0.019878
0.100000,12.634564,0.133718,13.245098,8.823529,2.941176,0.000000,0.021390
0.100000,13.531460,0.153610,14.142157,9.117647,2.941176,-0.000000,0.022961
0.100000,14.457597,0.175633,15.068627,9.411765,2.941176,0.000000,0.024590
0.100000,15.413239,0.199944,16.024510,9.705882,2.941176,-0.000000,0.026279
0.100000,16.393256,0.226557,17.004902,9.901961,1.960784,-9.803922,0.028020
0.100000,17.387897,0.255317,18.000000,10.000000,0.980392,-9.803922,0.029796
0.100000,18.387478,0.286006,19.000000,10.000000,0.000000,-9.803922,0.031590
0.100000,19.386946,0.318491,20.000000,10.000000,0.000000,0.000000,0.033393
0.100000,20.386299,0.352780,21.000000,10.000000,0.000000,0.000000,0.035204
0.100000,21.385700,0.388888,22.000000,10.000000,0.000000,0.000000,0.037026
0.100000,22.384993,0.426820,23.000000,10.000000,0.000000,0.000000,0.038856
0.100000,23.384162,0.466583,24.000000,10.000000,0.000000,0.000000,0.040696
0.100000,24.383304,0.508191,25.000000,10.000000,0.000000,0.000000,0.042545
0.100000,25.382391,0.551652,26.000000,10.000000,0.000000,0.000000,0.044404
0.100000,26.381346,0.596973,27.000000,10.000000,0.000000,0.000000,0.046272
0.100000,27.380185,0.644163,28.000000,10.000000,0.000000,0.000000,0.048150
0.100000,28.379033,0.693239,29.000000,10.000000,0.000000,0.000000,0.050037
0.100000,29.377742,0.744202,30.000000,10.000000,0.000000,0.000000,0.051934
0.100000,30.376307,0.797063,31.000000,10.000000,0.000000,0.000000,0.053841
0.100000,31.374806,0.851834,32.000000,10.000000,0.000000,0.000000,0.055758
0.100000,32.373233,0.908526,33.000000,10.000000,0.000000,0.000000,0.057685
0.100000,33.371507,0.967145,34.000000,10.000000,0.000000,0.000000,0.059622
0.100000,34.369626,1.027699,35.000000,10.000000,0.000000,0.000000,0.061568
0.100000,35.367697,1.090206,36.000000,10.000000,0.000000,0.000000,0.063525
0.100000,36.365643,1.154670,37.000000,10.000000,0.000000,0.000000,0.065492
0.100000,37.363422,1.221100,38.000000,10.000000,0.000000,0.000000,0.067469
0.100000,38.361032,1.289506,39.000000,10.000000,0.000000,0.000000,0.069457
0.100000,39.358585,1.359904,40.000000,10.000000,0.000000,0.000000,0.071455
0.100000,40.355985,1.432300,41.000000,10.000000,0.000000,0.000000,0.073463
0.100000,41.353203,1.506702,42.000000,10.000000,0.000000,0.000000,0.075482
0.100000,42.350236,1.583120,43.000000,10.000000,0.000000,0.000000,0.077511
0.100000,43.347175,1.661571,44.000000,10.000000,0.000000,0.000000,0.079551
0.100000,44.343958,1.742061,45.000000,10.000000,0.000000,0.000000,0.081602
0.100000,45.340544,1.824599,46.000000,10.000000,0.000000,0.000000,0.083663
0.100000,46.336928,1.909193,47.000000,10.000000,0.000000,0.000000,0.085735
0.100000,47.333151,1.995859,48.000000,10.000000,0.000000,0.000000,0.087818
0.100000,48.329243,2.084610,49.000000,10.000000,0.000000,0.000000,0.089913
0.100000,49.325119,2.175450,50.000000,10.000000,0.000000,0.000000,0.092018
0.100000,50.320775,2.268389,51.000000,10.000000,0.000000,0.000000,0.094134
0.100000,51.316208,2.363439,52.000000,10.000000,0.000000,0.000000,0.096262
0.100000,52.311495,2.460617,53.000000,10.000000,0.000000,0.000000,0.098400
0.100000,53.306579,2.559930,54.000000,10.000000,0.000000,0.000000,0.100550
0.100000,54.301423,2.661386,55.000000,10.000000,0.000000,0.000000,0.102712
0.100000,55.296024,2.764995,56.000000,10.000000,0.000000,0.000000,0.104885
0.100000,56.290376,2.870769,57.000000,10.000000,0.000000,0.000000,0.107069
0.100000,57.284552,2.978726,58.000000,10.000000,0.000000,0.000000,0.109265
0.100000,58.278494,3.088873,59.000000,10.000000,0.000000,0.000000,0.111473
0.100000,59.272170,3.201217,60.000000,10.000000,0.000000,0.000000,0.113692
0.100000,60.265576,3.315771,61.000000,10.000000,0.000000,0.000000,0.115923
0.100000,61.258706,3.432544,62.000000,10.000000,0.000000,0.000000,0.118166
0.100000,62.251584,3.551553,63.000000,10.000000,0.000000,0.000000,0.120421
0.100000,63.244238,3.672811,64.000000,10.000000,0.000000,0.000000,0.122688
0.100000,64.236598,3.796324,65.000000,10.000000,0.000000,0.000000,0.124968
0.100000,65.228657,3.922103,66.000000,10.000000,0.000000,0.000000,0.127259
0.100000,66.220411,4.050158,67.000000,10.000000,0.000000,0.000000,0.129563
0.100000,67.211853,4.180502,68.000000,10.000000,0.000000,0.000000,0.131878
0.100000,68.203001,4.313150,69.000000,10.000000,0.000000,0.000000,0.134207
0.100000,69.193881,4.448117,70.000000,10.000000,0.000000,0.000000,0.136548
0.100000,70.184429,4.585407,71.000000,10.000000,0.000000,0.000000,0.138901
0.100000,71.174639,4.725033,72.000000,10.000000,0.000000,0.000000,0.141267
0.100000,72.164504,4.867006,73.000000,10.000000,0.000000,0.000000,0.143645
0.100000,73.154018,5.011338,74.000000,10.000000,0.000000,0.000000,0.146037
0.100000,74.143174,5.158040,75.000000,10.000000,0.000000,0.000000,0.148441
0.100000,75.131988,5.307129,76.000000,10.000000,0.000000,0.000000,0.150858
0.100000,76.120472,5.458619,77.000000,10.000000,0.000000,0.000000,0.153288
0.100000,77.108576,5.612516,78.000000,10.000000,0.000000,0.000000,0.155731
0.100000,78.096291,5.768831,79.000000,10.000000,0.000000,0.000000,0.158187
0.100000,79.083611,5.927577,80.000000,10.000000,0.000000,0.000000,0.160656
0.100000,80.070527,6.088766,81.000000,10.000000,0.000000,0.000000,0.163139
0.100000,81.057033,6.252411,82.000000,10.000000,0.000000,0.000000,0.165635
0.100000,82.043121,6.418522,83.000000,10.000000,0.000000,0.000000,0.168144
0.100000,83.028783,6.587114,84.000000,10.000000,0.000000,0.000000,0.170667
0.100000,84.014058,6.758205,85.000000,10.000000,0.000000,0.000000,0.173203
0.100000,84.998892,6.931802,86.000000,10.000000,0.000000,0.000000,0.175753
