dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,-0.019820,-19.999990,0.004902,0.098039,0.980392,9.803922,6.282194
0.100000,-0.019177,-19.999991,0.005544,0.006420,-0.916187,-18.965796,6.282226
0.100000,-0.017733,-19.999992,0.006989,0.014448,0.080271,9.964584,6.282299
0.100000,-0.015324,-19.999994,0.009397,0.024084,0.096364,0.160926,6.282419
0.100000,-0.011952,-19.999996,0.012770,0.033727,0.096433,0.000697,6.282588
0.100000,-0.007614,-19.999999,0.017108,0.043380,0.096531,0.000977,6.282805
0.100000,-0.002309,-20.000000,0.022413,0.053046,0.096657,0.001257,6.283070
0.100000,0.124806,-19.999988,0.149528,1.271153,12.181066,120.844093,0.000198
0.100000,0.352667,-19.999901,0.377389,2.278611,10.074583,-21.064829,0.000561
0.100000,0.610820,-19.999703,0.635541,2.581524,3.029129,-70.454543,0.000972
0.100000,0.899499,-19.999357,0.924221,2.886799,3.052752,0.236231,0.001432
0.100000,1.218447,-19.998819,1.243170,3.189483,3.026841,-0.259105,0.001941
0.100000,1.567913,-19.998043,1.592636,3.494661,3.051782,0.249406,0.002499
0.100000,1.947671,-19.996978,1.972395,3.797597,3.029356,-0.224258,0.003107
0.100000,2.357919,-19.995569,2.382646,4.102511,3.049136,0.197801,0.003766
0.100000,2.798570,-19.993753,2.823301,4.406547,3.040367,-0.087689,0.004474
0.100000,3.269596,-19.991467,3.294332,4.710308,3.037602,-0.027657,0.005233
0.100000,3.771024,-19.988641,3.795768,5.014365,3.040574,0.029723,0.006042
0.100000,4.302971,-19.985198,4.327727,5.319582,3.052174,0.116003,0.006903
0.100000,4.865340,-19.981059,4.890111,5.623840,3.042571,-0.096028,0.007815
0.100000,5.458143,-19.976140,5.482934,5.928235,3.043956,0.013841,0.008780
0.100000,6.081393,-19.970352,6.106211,6.232765,3.045298,0.013422,0.009796
0.100000,6.735097,-19.963598,6.759949,6.537388,3.046229,0.009314,0.010866
0.100000,7.419258,-19.955780,7.444156,6.842063,3.046748,0.005190,0.011989
0.100000,8.133877,-19.946791,8.158831,7.146748,3.046853,0.001053,0.013166
0.100000,8.879066,-19.936521,8.904091,7.452606,3.058579,0.117257,0.014397
0.100000,9.654731,-19.924854,9.679844,7.757526,3.049197,-0.093823,0.015683
0.100000,10.460854,-19.911670,10.486074,8.062302,3.047769,-0.014278,0.017025
0.100000,11.297471,-19.896840,11.322823,8.367491,3.051887,0.041184,0.018423
0.100000,12.164695,-19.880231,12.190205,8.673823,3.063320,0.114326,0.019878
0.100000,13.062335,-19.861707,13.088037,8.978313,3.044899,-0.184207,0.021390
0.100000,13.990635,-19.841118,14.016565,9.285288,3.069747,0.248478,0.022961
0.100000,14.949349,-19.818321,14.975550,9.589843,3.045551,-0.241960,0.024590
0.100000,15.938765,-19.793151,15.965286,9.897367,3.075236,0.296852,0.026279
0.100000,16.953588,-19.765592,16.980484,10.151973,2.546062,-5.291749,0.028020
0.100000,17.983730,-19.735805,18.011056,10.305727,1.537545,-10.085168,0.029796
0.100000,19.019170,-19.704015,19.046984,10.359274,0.535467,-10.020776,0.031590
0.100000,20.054674,-19.670359,20.083035,10.360510,0.012360,-5.231068,0.033393
0.100000,21.090242,-19.634828,21.119213,10.361777,0.012669,0.003091,0.035204
0.100000,22.126045,-19.597404,22.155691,10.364781,0.030043,0.173734,0.037026
0.100000,23.161920,-19.558084,23.192312,10.366213,0.014315,-0.157281,0.038856
0.100000,24.197855,-19.516858,24.229067,10.367548,0.013355,-0.009600,0.040696
0.100000,25.233950,-19.473711,25.266059,10.369928,0.023794,0.104394,0.042545
0.100000,26.270175,-19.428634,26.303265,10.372059,0.021311,-0.024827,0.044404
0.100000,27.306456,-19.381620,27.340612,10.373462,0.014031,-0.072805,0.046272
0.100000,28.342806,-19.332657,28.378118,10.375065,0.016036,0.020054,0.048150
0.100000,29.379360,-19.281729,29.415923,10.378046,0.029801,0.137646,0.050037
0.100000,30.415963,-19.228832,30.453874,10.379515,0.014698,-0.151032,0.051934
0.100000,31.452613,-19.173955,31.491976,10.381015,0.014997,0.002995,0.053841
0.100000,32.489390,-19.117084,32.530311,10.383349,0.023343,0.083454,0.055758
